D:\data\IMG\center_2019_01_15_14_58_51_620.jpg,D:\data\IMG\left_2019_01_15_14_58_51_620.jpg,D:\data\IMG\right_2019_01_15_14_58_51_620.jpg,0,0,0,1.26E-05
D:\data\IMG\center_2019_01_15_14_58_51_703.jpg,D:\data\IMG\left_2019_01_15_14_58_51_703.jpg,D:\data\IMG\right_2019_01_15_14_58_51_703.jpg,0,0,0,1.19E-06
D:\data\IMG\center_2019_01_15_14_58_51_802.jpg,D:\data\IMG\left_2019_01_15_14_58_51_802.jpg,D:\data\IMG\right_2019_01_15_14_58_51_802.jpg,0,0,0,1.91E-05
D:\data\IMG\center_2019_01_15_14_58_51_902.jpg,D:\data\IMG\left_2019_01_15_14_58_51_902.jpg,D:\data\IMG\right_2019_01_15_14_58_51_902.jpg,0,0,0,6.05E-07
D:\data\IMG\center_2019_01_15_14_58_51_999.jpg,D:\data\IMG\left_2019_01_15_14_58_51_999.jpg,D:\data\IMG\right_2019_01_15_14_58_51_999.jpg,0,0,0,2.95E-05
D:\data\IMG\center_2019_01_15_14_58_52_101.jpg,D:\data\IMG\left_2019_01_15_14_58_52_101.jpg,D:\data\IMG\right_2019_01_15_14_58_52_101.jpg,0,0,0,2.12E-05
D:\data\IMG\center_2019_01_15_14_58_52_201.jpg,D:\data\IMG\left_2019_01_15_14_58_52_201.jpg,D:\data\IMG\right_2019_01_15_14_58_52_201.jpg,0,0,0,9.11E-06
D:\data\IMG\center_2019_01_15_14_58_52_315.jpg,D:\data\IMG\left_2019_01_15_14_58_52_315.jpg,D:\data\IMG\right_2019_01_15_14_58_52_315.jpg,0,0,0,2.00E-05
D:\data\IMG\center_2019_01_15_14_58_52_466.jpg,D:\data\IMG\left_2019_01_15_14_58_52_466.jpg,D:\data\IMG\right_2019_01_15_14_58_52_466.jpg,0,0,0,3.02E-06
D:\data\IMG\center_2019_01_15_14_58_52_622.jpg,D:\data\IMG\left_2019_01_15_14_58_52_622.jpg,D:\data\IMG\right_2019_01_15_14_58_52_622.jpg,0,0,0,2.03E-05
D:\data\IMG\center_2019_01_15_14_58_52_777.jpg,D:\data\IMG\left_2019_01_15_14_58_52_777.jpg,D:\data\IMG\right_2019_01_15_14_58_52_777.jpg,0,0,0,4.39E-06
D:\data\IMG\center_2019_01_15_14_58_52_931.jpg,D:\data\IMG\left_2019_01_15_14_58_52_931.jpg,D:\data\IMG\right_2019_01_15_14_58_52_931.jpg,0,0.4573984,0,0.7890411
D:\data\IMG\center_2019_01_15_14_58_53_091.jpg,D:\data\IMG\left_2019_01_15_14_58_53_091.jpg,D:\data\IMG\right_2019_01_15_14_58_53_091.jpg,-0.4,0.9298073,0,2.421098
D:\data\IMG\center_2019_01_15_14_58_53_240.jpg,D:\data\IMG\left_2019_01_15_14_58_53_240.jpg,D:\data\IMG\right_2019_01_15_14_58_53_240.jpg,0,1,0,4.29444
D:\data\IMG\center_2019_01_15_14_58_53_407.jpg,D:\data\IMG\left_2019_01_15_14_58_53_407.jpg,D:\data\IMG\right_2019_01_15_14_58_53_407.jpg,0,1,0,6.149559
D:\data\IMG\center_2019_01_15_14_58_53_565.jpg,D:\data\IMG\left_2019_01_15_14_58_53_565.jpg,D:\data\IMG\right_2019_01_15_14_58_53_565.jpg,0,0.5267276,0,7.094888
D:\data\IMG\center_2019_01_15_14_58_53_717.jpg,D:\data\IMG\left_2019_01_15_14_58_53_717.jpg,D:\data\IMG\right_2019_01_15_14_58_53_717.jpg,0,0.06998485,0,7.143941
D:\data\IMG\center_2019_01_15_14_58_53_860.jpg,D:\data\IMG\left_2019_01_15_14_58_53_860.jpg,D:\data\IMG\right_2019_01_15_14_58_53_860.jpg,-0.35,0,0,7.019538
D:\data\IMG\center_2019_01_15_14_58_54_012.jpg,D:\data\IMG\left_2019_01_15_14_58_54_012.jpg,D:\data\IMG\right_2019_01_15_14_58_54_012.jpg,-0.7,0,0,6.839378
D:\data\IMG\center_2019_01_15_14_58_54_167.jpg,D:\data\IMG\left_2019_01_15_14_58_54_167.jpg,D:\data\IMG\right_2019_01_15_14_58_54_167.jpg,-1,0,0,6.590008
D:\data\IMG\center_2019_01_15_14_58_54_322.jpg,D:\data\IMG\left_2019_01_15_14_58_54_322.jpg,D:\data\IMG\right_2019_01_15_14_58_54_322.jpg,0,0,0,6.325464
D:\data\IMG\center_2019_01_15_14_58_54_468.jpg,D:\data\IMG\left_2019_01_15_14_58_54_468.jpg,D:\data\IMG\right_2019_01_15_14_58_54_468.jpg,-0.35,0,0,6.214749
D:\data\IMG\center_2019_01_15_14_58_54_617.jpg,D:\data\IMG\left_2019_01_15_14_58_54_617.jpg,D:\data\IMG\right_2019_01_15_14_58_54_617.jpg,-0.7500002,0,0,6.030588
D:\data\IMG\center_2019_01_15_14_58_54_765.jpg,D:\data\IMG\left_2019_01_15_14_58_54_765.jpg,D:\data\IMG\right_2019_01_15_14_58_54_765.jpg,-1,0,0,5.83632
D:\data\IMG\center_2019_01_15_14_58_54_914.jpg,D:\data\IMG\left_2019_01_15_14_58_54_914.jpg,D:\data\IMG\right_2019_01_15_14_58_54_914.jpg,0,0,0,5.608783
D:\data\IMG\center_2019_01_15_14_58_55_057.jpg,D:\data\IMG\left_2019_01_15_14_58_55_057.jpg,D:\data\IMG\right_2019_01_15_14_58_55_057.jpg,0,0,0,5.518416
D:\data\IMG\center_2019_01_15_14_58_55_217.jpg,D:\data\IMG\left_2019_01_15_14_58_55_217.jpg,D:\data\IMG\right_2019_01_15_14_58_55_217.jpg,0,0,0,5.430101
D:\data\IMG\center_2019_01_15_14_58_55_356.jpg,D:\data\IMG\left_2019_01_15_14_58_55_356.jpg,D:\data\IMG\right_2019_01_15_14_58_55_356.jpg,0,0,0,5.353985
D:\data\IMG\center_2019_01_15_14_58_55_522.jpg,D:\data\IMG\left_2019_01_15_14_58_55_522.jpg,D:\data\IMG\right_2019_01_15_14_58_55_522.jpg,0,0.493892,0,6.19945
D:\data\IMG\center_2019_01_15_14_58_55_655.jpg,D:\data\IMG\left_2019_01_15_14_58_55_655.jpg,D:\data\IMG\right_2019_01_15_14_58_55_655.jpg,0,0.8938435,0,7.59875
D:\data\IMG\center_2019_01_15_14_58_55_808.jpg,D:\data\IMG\left_2019_01_15_14_58_55_808.jpg,D:\data\IMG\right_2019_01_15_14_58_55_808.jpg,-0.35,0.4309309,0,8.219807
D:\data\IMG\center_2019_01_15_14_58_55_953.jpg,D:\data\IMG\left_2019_01_15_14_58_55_953.jpg,D:\data\IMG\right_2019_01_15_14_58_55_953.jpg,0,0,0,8.122069
D:\data\IMG\center_2019_01_15_14_58_56_101.jpg,D:\data\IMG\left_2019_01_15_14_58_56_101.jpg,D:\data\IMG\right_2019_01_15_14_58_56_101.jpg,0,0,0,7.991922
D:\data\IMG\center_2019_01_15_14_58_56_249.jpg,D:\data\IMG\left_2019_01_15_14_58_56_249.jpg,D:\data\IMG\right_2019_01_15_14_58_56_249.jpg,-0.35,0,0,7.848422
